Time [s],Channel 0
2024-04-16T11:48:50.375394500+00:00,1
2024-04-16T11:48:50.375465200+00:00,0
2024-04-16T11:48:50.474326875+00:00,1
2024-04-16T11:48:50.474397550+00:00,0
2024-04-16T11:48:50.575909850+00:00,1
2024-04-16T11:48:50.575984425+00:00,0
2024-04-16T11:48:50.678404275+00:00,1
2024-04-16T11:48:50.678475125+00:00,0
2024-04-16T11:48:50.781158550+00:00,1
2024-04-16T11:48:50.781229500+00:00,0
2024-04-16T11:48:50.884174800+00:00,1
2024-04-16T11:48:50.884245425+00:00,0
2024-04-16T11:48:50.988213950+00:00,1
2024-04-16T11:48:50.988284725+00:00,0
2024-04-16T11:48:51.088044200+00:00,1
2024-04-16T11:48:51.088115100+00:00,0
2024-04-16T11:48:51.190921375+00:00,1
2024-04-16T11:48:51.190992050+00:00,0
2024-04-16T11:48:51.295661925+00:00,1
2024-04-16T11:48:51.295732775+00:00,0
2024-04-16T11:48:51.407713900+00:00,1
2024-04-16T11:48:51.407784725+00:00,0
2024-04-16T11:48:51.500575525+00:00,1
2024-04-16T11:48:51.500646200+00:00,0
2024-04-16T11:48:51.601184050+00:00,1
2024-04-16T11:48:51.601254675+00:00,0
2024-04-16T11:48:51.714297375+00:00,1
2024-04-16T11:48:51.714368500+00:00,0
2024-04-16T11:48:51.804721325+00:00,1
2024-04-16T11:48:51.804792300+00:00,0
2024-04-16T11:48:51.895474075+00:00,1
2024-04-16T11:48:51.895477450+00:00,0
2024-04-16T11:48:51.908054800+00:00,1
2024-04-16T11:48:51.908125575+00:00,0
2024-04-16T11:48:52.013596750+00:00,1
2024-04-16T11:48:52.013672100+00:00,0
2024-04-16T11:48:52.071083100+00:00,1
2024-04-16T11:48:52.071086475+00:00,0
2024-04-16T11:48:52.113937075+00:00,1
2024-04-16T11:48:52.114007800+00:00,0
2024-04-16T11:48:52.215792300+00:00,1
2024-04-16T11:48:52.215863100+00:00,0
2024-04-16T11:48:52.275276550+00:00,1
2024-04-16T11:48:52.275279950+00:00,0
2024-04-16T11:48:52.318893500+00:00,1
2024-04-16T11:48:52.318964475+00:00,0
2024-04-16T11:48:52.419141100+00:00,1
2024-04-16T11:48:52.419212125+00:00,0
2024-04-16T11:48:52.522328975+00:00,1
2024-04-16T11:48:52.522399800+00:00,0
2024-04-16T11:48:52.623922475+00:00,1
2024-04-16T11:48:52.623993450+00:00,0
2024-04-16T11:48:52.727824025+00:00,1
2024-04-16T11:48:52.727894850+00:00,0
2024-04-16T11:48:52.830850650+00:00,1
2024-04-16T11:48:52.830921750+00:00,0
2024-04-16T11:48:52.932065025+00:00,1
2024-04-16T11:48:52.932135850+00:00,0
2024-04-16T11:48:52.973393800+00:00,0
